flu_season_start,flu_season_end,last_end,season_length,time_since_last
2016-01-10,2016-05-15,NA,126,NA
2016-12-04,2017-06-04,2016-05-15,182,203
2017-11-19,2018-04-29,2017-06-04,161,168
2018-12-09,2019-04-28,2018-04-29,140,224
2019-11-10,2020-03-29,2019-04-28,140,196
