flu_season_start,flu_season_end,last_end,season_length,time_since_last
2016-02-07,2016-05-22,NA,105,NA
2017-01-01,2017-05-07,2016-05-22,126,224
2017-12-03,2018-05-20,2017-05-07,168,210
2018-12-16,2019-05-12,2018-05-20,147,210
2019-12-01,2020-03-29,2019-05-12,119,203
