flu_season_start,flu_season_end,last_end,season_length,time_since_last
2016-01-24,2016-06-12,NA,140,NA
2016-12-04,2017-06-25,2016-06-12,203,175
2017-11-12,2018-05-06,2017-06-25,175,140
2018-11-18,2019-05-19,2018-05-06,182,196
2019-08-18,2019-09-15,2019-05-19,28,91
2019-11-03,2020-03-29,2019-09-15,147,49
